source_key,repository,collection,source_type,source_rel,bytes,words,sha256,inventory_status
ZhJpBook:books/chumon-no-ooi-ryoriten/markdown/ja.clean.md,ZhJpBook,chumon-no-ooi-ryoriten,book-markdown,books/chumon-no-ooi-ryoriten/markdown/ja.clean.md,201702,4912,3b6049cb234e5dcd4113dae7cfe2dc68570a936662f0d2ed565ec918be8fec73,catalogued-not-substantively-read
ZhJpBook:books/chumon-no-ooi-ryoriten/markdown/ja.md,ZhJpBook,chumon-no-ooi-ryoriten,book-markdown,books/chumon-no-ooi-ryoriten/markdown/ja.md,201702,4912,3b6049cb234e5dcd4113dae7cfe2dc68570a936662f0d2ed565ec918be8fec73,catalogued-not-substantively-read
ZhJpBook:books/chumon-no-ooi-ryoriten/markdown/ja.raw.md,ZhJpBook,chumon-no-ooi-ryoriten,book-markdown,books/chumon-no-ooi-ryoriten/markdown/ja.raw.md,431741,58395,a6e9f0e7bf64145e88fa56cc295f773e9e739528add3a5b659d7ef2266077e49,catalogued-not-substantively-read
ZhJpBook:books/chumon-no-ooi-ryoriten/markdown/zh.clean.md,ZhJpBook,chumon-no-ooi-ryoriten,book-markdown,books/chumon-no-ooi-ryoriten/markdown/zh.clean.md,268617,9659,4af8e670f2a23471a2208ffb902f2802a1d659916b73c42396295e12f0ac0036,catalogued-not-substantively-read
ZhJpBook:books/chumon-no-ooi-ryoriten/markdown/zh.md,ZhJpBook,chumon-no-ooi-ryoriten,book-markdown,books/chumon-no-ooi-ryoriten/markdown/zh.md,268617,9659,4af8e670f2a23471a2208ffb902f2802a1d659916b73c42396295e12f0ac0036,catalogued-not-substantively-read
ZhJpBook:books/chumon-no-ooi-ryoriten/markdown/zh.raw.md,ZhJpBook,chumon-no-ooi-ryoriten,book-markdown,books/chumon-no-ooi-ryoriten/markdown/zh.raw.md,287571,11150,edd22f40af3d14440b9c790a200c388b3c2fad1cdd07514cd1941b5ffc3988cb,catalogued-not-substantively-read
ZhJpBook:books/confessions-mask/markdown/ja.md,ZhJpBook,confessions-mask,book-markdown,books/confessions-mask/markdown/ja.md,432274,10147,5574a3c15fb34c19954176ff8e5ce7ddf209919bafd2ac61549ef84c669397ce,catalogued-not-substantively-read
ZhJpBook:books/conversation-cathedral/markdown/en.md,ZhJpBook,conversation-cathedral,book-markdown,books/conversation-cathedral/markdown/en.md,1314989,237609,4380200081c405c33e2047f2c9bbb701ede1998667af8e5f7c02d68af42efea7,catalogued-not-substantively-read
ZhJpBook:books/crime-and-punishment/markdown/en.md,ZhJpBook,crime-and-punishment,book-markdown,books/crime-and-punishment/markdown/en.md,1157764,208084,6b146b053ffcfd51d6a41863319d297bb9f1508f68adeb0e883adab8e061a05a,catalogued-not-substantively-read
ZhJpBook:books/daodejing/markdown/wenyan.md,ZhJpBook,daodejing,book-markdown,books/daodejing/markdown/wenyan.md,21576,1387,5b4ae8a8fe420a64c142a4c641f2844b2d59e435046c4ad68d1054816fdd0451,catalogued-not-substantively-read
ZhJpBook:books/david-copperfield/markdown/en.md,ZhJpBook,david-copperfield,book-markdown,books/david-copperfield/markdown/en.md,1970645,362202,638ee94faed40a3293045bdb52fb63ca70e7ff434dd0d01534a6f5c686c0f8e5,catalogued-not-substantively-read
ZhJpBook:books/dead-souls/markdown/en.md,ZhJpBook,dead-souls,book-markdown,books/dead-souls/markdown/en.md,820862,143500,cae1525919a2d059a77e6a8e95859206b6fbfc66fd16c2291b4dc023ace42d62,catalogued-not-substantively-read
ZhJpBook:books/death-of-ivan-ilyich/markdown/en.md,ZhJpBook,death-of-ivan-ilyich,book-markdown,books/death-of-ivan-ilyich/markdown/en.md,134338,23947,76b5890f88eacf7ae3085ae7cc1a28868d58afbff3ce558718ec357de108fc0b,catalogued-not-substantively-read
ZhJpBook:books/don-quixote/markdown/en.md,ZhJpBook,don-quixote,book-markdown,books/don-quixote/markdown/en.md,2290745,424869,374fe00f7b0d2c6e12cf7aa7b568034413175d12d1192a91e8d2a61d6db8f86f,catalogued-not-substantively-read
ZhJpBook:books/dream-red-chamber/markdown/zh.md,ZhJpBook,dream-red-chamber,book-markdown,books/dream-red-chamber/markdown/zh.md,2616122,109213,91d02b56f2acb08fbf7a984be22a9c65beb3e2f8cda8f1d906e39a67ee8592f6,catalogued-not-substantively-read
ZhJpBook:books/economics-one-lesson/markdown/en.md,ZhJpBook,economics-one-lesson,book-markdown,books/economics-one-lesson/markdown/en.md,327887,56192,8bd6f997bb6d24cf5b9a26a97213ef9a19dac7c7a28e470a12af231b3b687d17,catalogued-not-substantively-read
ZhJpBook:books/economics-one-lesson-complete-structure-repair/markdown/en.md,ZhJpBook,economics-one-lesson-complete-structure-repair,book-markdown,books/economics-one-lesson-complete-structure-repair/markdown/en.md,328401,56284,05a19156a9945680c29d90afcc819e9cae9e9f301abbc3902ec776b0eb4f53d1,catalogued-not-substantively-read
ZhJpBook:books/effective-executive-drucker/markdown/en.md,ZhJpBook,effective-executive-drucker,book-markdown,books/effective-executive-drucker/markdown/en.md,331665,55595,a720720581ec49e0c07bca6489125ae7d593e87b0e9fe1daa67699cfd93951bb,catalogued-not-substantively-read
ZhJpBook:books/elegant-universe/markdown/en.md,ZhJpBook,elegant-universe,book-markdown,books/elegant-universe/markdown/en.md,770283,125894,0222421aa031631d71fabc013ddadd0c55f8a83532091ddacfce6450d3b396a4,catalogued-not-substantively-read
ZhJpBook:books/emma/markdown/en.md,ZhJpBook,emma,book-markdown,books/emma/markdown/en.md,893510,161393,ccb8f15f2f6dda75cdb5669de394d82006bdf147712b28b408e1fc90bfaa550b,catalogued-not-substantively-read
ZhJpBook:books/english-poetry-anthology/markdown/en.md,ZhJpBook,english-poetry-anthology,book-markdown,books/english-poetry-anthology/markdown/en.md,118349,21328,f3bc02838bf30ba3b0ffdce6c4c5bdd647857bdabe105812d1d3b1405862b441,catalogued-not-substantively-read
ZhJpBook:books/english-poetry-anthology/markdown/zh.md,ZhJpBook,english-poetry-anthology,book-markdown,books/english-poetry-anthology/markdown/zh.md,126909,4453,3d97d9bbac3daddfd800731c039941e25f68c99a66382ef5eb6cb76bcafc65e7,catalogued-not-substantively-read
ZhJpBook:books/english-poetry-anthology-spark/markdown/en.md,ZhJpBook,english-poetry-anthology-spark,book-markdown,books/english-poetry-anthology-spark/markdown/en.md,118349,21328,f3bc02838bf30ba3b0ffdce6c4c5bdd647857bdabe105812d1d3b1405862b441,catalogued-not-substantively-read
ZhJpBook:books/english-poetry-anthology-spark/markdown/zh.md,ZhJpBook,english-poetry-anthology-spark,book-markdown,books/english-poetry-anthology-spark/markdown/zh.md,126909,4453,3d97d9bbac3daddfd800731c039941e25f68c99a66382ef5eb6cb76bcafc65e7,catalogued-not-substantively-read
ZhJpBook:books/eugene-onegin/markdown/en.md,ZhJpBook,eugene-onegin,book-markdown,books/eugene-onegin/markdown/en.md,230133,39417,845cd0e35ad8f53f6ebe1637ff588d4ad9983b078dd00a18858c1698e1405221,catalogued-not-substantively-read
ZhJpBook:books/fabric-of-the-cosmos/markdown/en.md,ZhJpBook,fabric-of-the-cosmos,book-markdown,books/fabric-of-the-cosmos/markdown/en.md,1159118,192967,5b73b62fb110040f2cdf3847d08a07dea8572d1d4186ef41ab4eb10fbb16a1e8,catalogued-not-substantively-read
ZhJpBook:books/father-goriot/markdown/en.md,ZhJpBook,father-goriot,book-markdown,books/father-goriot/markdown/en.md,577519,104708,be269cf6ca6603e835ed8b330f1ec144d98a6744d22f579db37938dd54ed6283,catalogued-not-substantively-read
ZhJpBook:books/fathers-and-sons/markdown/en.md,ZhJpBook,fathers-and-sons,book-markdown,books/fathers-and-sons/markdown/en.md,459741,80479,80adb435e9970d26716447a27deef493a4845c676710948956e02449b1d290cc,catalogued-not-substantively-read
ZhJpBook:books/faust/markdown/en.md,ZhJpBook,faust,book-markdown,books/faust/markdown/en.md,226249,39313,9fd6e1649b3d5f7f69c0fc1b0961de2e831d68bfbf7921ce3b695bc69d7b3e31,catalogued-not-substantively-read
ZhJpBook:books/fellowship-of-the-ring/markdown/en.md,ZhJpBook,fellowship-of-the-ring,book-markdown,books/fellowship-of-the-ring/markdown/en.md,960658,179329,f2192590f0bf63c01f10b24c6771ffa215fa36d4d4a35f9027d4e183fc3279bc,catalogued-not-substantively-read
ZhJpBook:books/fellowship-of-the-ring/markdown/zh.md,ZhJpBook,fellowship-of-the-ring,book-markdown,books/fellowship-of-the-ring/markdown/zh.md,941045,28987,82136eed322b34e2f4c2c7b3d8e40fa6a6646060e70972aa538b4233bdf4a468,catalogued-not-substantively-read
ZhJpBook:books/ficciones/markdown/en.md,ZhJpBook,ficciones,book-markdown,books/ficciones/markdown/en.md,272239,46500,685a3fa94e6275cb6b571ba4b15bf0024f617f8de959249a9c3d01733405b8fc,catalogued-not-substantively-read
ZhJpBook:books/five-dysfunctions-team/markdown/en.md,ZhJpBook,five-dysfunctions-team,book-markdown,books/five-dysfunctions-team/markdown/en.md,242235,42057,e49ccd9ca869d5fc83ebd61173b0c0ec920493a920e43fbcf7c4cbe9b5cd7a3f,catalogued-not-substantively-read
ZhJpBook:books/foguoji/markdown/wenyan.md,ZhJpBook,foguoji,book-markdown,books/foguoji/markdown/wenyan.md,51365,2675,058562fa44fedbc31fab59a5db1f14b7a2fbfd01eb4851b54dc12ca259544f2a,catalogued-not-substantively-read
ZhJpBook:books/fortress-besieged/markdown/zh.md,ZhJpBook,fortress-besieged,book-markdown,books/fortress-besieged/markdown/zh.md,714790,27891,1be03f430560e2871e92cba766444e621354823df10668983a19b269df56e095,catalogued-not-substantively-read
