record_id,series,sequence,title,youtube_id,transcript_rel,subtitle_rel,media_rel,media_match,media_candidates,transcript_words,last_timestamp,duration_seconds,transcript_sha256,subtitle_sha256,video_family_size,canonical_video_record
school-of-hard-knocks/entrepreneurship/146-1m7ERHu13sc,school-of-hard-knocks/entrepreneurship,146,"Asking Strangers How Much MONEY They Make (Austin, Texas)",1m7ERHu13sc,"markdown/lazyearn/school-of-hard-knocks/entrepreneurship/146 - Asking Strangers How Much MONEY They Make (Austin, Texas) [1m7ERHu13sc].md","subtitles/lazyearn/school-of-hard-knocks/entrepreneurship/146 - Asking Strangers How Much MONEY They Make (Austin, Texas) [1m7ERHu13sc].srt","lazyearn/school-of-hard-knocks/hard-knocks-interviews/113 - Asking Strangers How Much MONEY They Make (Austin, Texas) [1m7ERHu13sc].mkv",exact-source-path,1,2864,"00:11:00,180",660.18,c79c8622653ee336690ef0d00b5f9416c58f5854f9f24523f4c7bb7d66d85200,81043752131cb13967125893090500be8b71c9f1bbe32c22864f17c748b7d28a,2,yes
school-of-hard-knocks/entrepreneurship/146-ml6tMccO2xE,school-of-hard-knocks/entrepreneurship,146,How to Wholesale Real Estate for Beginners,ml6tMccO2xE,markdown/lazyearn/school-of-hard-knocks/entrepreneurship/146 - How to Wholesale Real Estate for Beginners [ml6tMccO2xE].md,subtitles/lazyearn/school-of-hard-knocks/entrepreneurship/146 - How to Wholesale Real Estate for Beginners [ml6tMccO2xE].srt,lazyearn/school-of-hard-knocks/entrepreneurship/146 - How to Wholesale Real Estate for Beginners [ml6tMccO2xE].mkv,exact-source-path,1,2789,"00:09:58,912",598.912,0e319292fb59bafe50829fc91b5e8a008cdae19d4ac22fb08a3c5afe688ba7c7,1a27592c289b27d0325de0cb8f191d5247408625f32b640429668068f11cf76c,1,yes
school-of-hard-knocks/entrepreneurship/147-3G79t-mcgJ8,school-of-hard-knocks/entrepreneurship,147,Asking A Tech Millionaire How To Start & Scale a Tech Company,3G79t-mcgJ8,markdown/lazyearn/school-of-hard-knocks/entrepreneurship/147 - Asking A Tech Millionaire How To Start & Scale a Tech Company [3G79t-mcgJ8].md,subtitles/lazyearn/school-of-hard-knocks/entrepreneurship/147 - Asking A Tech Millionaire How To Start & Scale a Tech Company [3G79t-mcgJ8].srt,lazyearn/school-of-hard-knocks/hard-knocks-interviews/114 - Asking A Tech Millionaire How To Start & Scale a Tech Company [3G79t-mcgJ8].webm,exact-source-path,1,3031,"00:12:47,600",767.6,0e64355831d054e2f02d240c99e6355c2df8c2b262167f130940781dbef77323,6ee911b99499cb44dd2a9eb0bd8801c66a45a5f53e6074f3e569342daa63682f,2,yes
school-of-hard-knocks/entrepreneurship/147-__CY9eanfV4,school-of-hard-knocks/entrepreneurship,147,School of Hard Knocks First Speaking Event!,__CY9eanfV4,markdown/lazyearn/school-of-hard-knocks/entrepreneurship/147 - School of Hard Knocks First Speaking Event! [__CY9eanfV4].md,subtitles/lazyearn/school-of-hard-knocks/entrepreneurship/147 - School of Hard Knocks First Speaking Event! [__CY9eanfV4].srt,lazyearn/school-of-hard-knocks/entrepreneurship/147 - School of Hard Knocks First Speaking Event! [__CY9eanfV4].mkv,exact-source-path,1,5199,"00:22:30,820",1350.82,9f2c048f4c165858ff80bb7283a32cd60b6253ceaa0df5114db126d452001389,f8a71b3305aacab1ea1939e6106a83fd04a8f8b2ef16df9989a487d4b584dd7b,1,yes
school-of-hard-knocks/entrepreneurship/148-w1bpdHouHpI,school-of-hard-knocks/entrepreneurship,148,Asking Denver Millionaires How Much Money They Make,w1bpdHouHpI,markdown/lazyearn/school-of-hard-knocks/entrepreneurship/148 - Asking Denver Millionaires How Much Money They Make [w1bpdHouHpI].md,subtitles/lazyearn/school-of-hard-knocks/entrepreneurship/148 - Asking Denver Millionaires How Much Money They Make [w1bpdHouHpI].srt,lazyearn/school-of-hard-knocks/hard-knocks-interviews/115 - Asking Denver Millionaires How Much Money They Make [w1bpdHouHpI].webm,exact-source-path,1,1845,"00:07:07,220",427.22,a1bf0d4f77b23cf311ec3f81b97f606cca3ecdbcd4a838be9e2377994b6243cd,7b14a18db04ddaf635cd9aa4defafc033cec9fcc7232ded0ae0eda02c9562ce0,2,yes
school-of-hard-knocks/entrepreneurship/150-Kq4nx8DLrpY,school-of-hard-knocks/entrepreneurship,150,Asking Millionaires How They Got RICH! (Houston),Kq4nx8DLrpY,markdown/lazyearn/school-of-hard-knocks/entrepreneurship/150 - Asking Millionaires How They Got RICH! (Houston) [Kq4nx8DLrpY].md,subtitles/lazyearn/school-of-hard-knocks/entrepreneurship/150 - Asking Millionaires How They Got RICH! (Houston) [Kq4nx8DLrpY].srt,lazyearn/school-of-hard-knocks/hard-knocks-interviews/117 - Asking Millionaires How They Got RICH! (Houston) [Kq4nx8DLrpY].mkv,exact-source-path,1,2676,"00:09:50,100",590.1,ffbd2888127f233a3766de6d529887935c2392b95ae619cb44941ef9869d769c,23f7fcd4a26fa952d0b90b4459fb66df3440734bc6ab1766ef38113b79c9ca39,2,yes
school-of-hard-knocks/entrepreneurship/151-MtvcqGNGev8,school-of-hard-knocks/entrepreneurship,151,Entrepreneurs Guide To Start and Scale ANY Business,MtvcqGNGev8,markdown/lazyearn/school-of-hard-knocks/entrepreneurship/151 - Entrepreneurs Guide To Start and Scale ANY Business [MtvcqGNGev8].md,subtitles/lazyearn/school-of-hard-knocks/entrepreneurship/151 - Entrepreneurs Guide To Start and Scale ANY Business [MtvcqGNGev8].srt,lazyearn/school-of-hard-knocks/hard-knocks-interviews/118 - Entrepreneurs Guide To Start and Scale ANY Business [MtvcqGNGev8].mkv,exact-source-path,1,2053,"00:08:44,700",524.7,67b85678f7ad79846106ca5e469657bd479025fd8356c86f1f322fa5b708d32a,2fefef6799029a96a7028707b6434d1c6d9281852dbe0ac768992093a08e3d4a,2,yes
school-of-hard-knocks/entrepreneurship/152-3aG9DVb6vBs,school-of-hard-knocks/entrepreneurship,152,How to Make $2 Million in Commercial Real Estate,3aG9DVb6vBs,markdown/lazyearn/school-of-hard-knocks/entrepreneurship/152 - How to Make $2 Million in Commercial Real Estate [3aG9DVb6vBs].md,subtitles/lazyearn/school-of-hard-knocks/entrepreneurship/152 - How to Make $2 Million in Commercial Real Estate [3aG9DVb6vBs].srt,lazyearn/school-of-hard-knocks/hard-knocks-interviews/119 - How to Make $2 Million in Commercial Real Estate [3aG9DVb6vBs].webm,exact-source-path,1,2105,"00:09:12,260",552.26,0bf706e178060857a4f2d78a98107cc0ce3d778d85c1f3b1af164e200d8d061d,b1005cbd9d44ff15136be39a9d0ff8b329a76db0c7f71ef7db9cbdc1deb4a25a,2,yes
school-of-hard-knocks/entrepreneurship/153-1NvSd_heJxE,school-of-hard-knocks/entrepreneurship,153,Exclusive Interview with Former Nike President： Life Lessons and Advice for Success,1NvSd_heJxE,markdown/lazyearn/school-of-hard-knocks/entrepreneurship/153 - Exclusive Interview with Former Nike President： Life Lessons and Advice for Success [1NvSd_heJxE].md,subtitles/lazyearn/school-of-hard-knocks/entrepreneurship/153 - Exclusive Interview with Former Nike President： Life Lessons and Advice for Success [1NvSd_heJxE].srt,lazyearn/school-of-hard-knocks/entrepreneurship/153 - Exclusive Interview with Former Nike President： Life Lessons and Advice for Success [1NvSd_heJxE].webm,exact-source-path,1,906,"00:03:26,560",206.56,3e719ea93d942a7f518ff37d492c34d6e0d1726e827afd46a438b952f1efcaa0,b24c1de2ab7c2d79100b329f588e580f737c7fc41dc98be2a410100e0ebb63c2,1,yes
school-of-hard-knocks/entrepreneurship/153-Iw7huxwfHRM,school-of-hard-knocks/entrepreneurship,153,Asking Entrepreneurs How They Got RICH! (San Antonio),Iw7huxwfHRM,markdown/lazyearn/school-of-hard-knocks/entrepreneurship/153 - Asking Entrepreneurs How They Got RICH! (San Antonio) [Iw7huxwfHRM].md,subtitles/lazyearn/school-of-hard-knocks/entrepreneurship/153 - Asking Entrepreneurs How They Got RICH! (San Antonio) [Iw7huxwfHRM].srt,lazyearn/school-of-hard-knocks/hard-knocks-interviews/120 - Asking Entrepreneurs How They Got RICH! (San Antonio) [Iw7huxwfHRM].mkv,exact-source-path,1,2395,"00:09:46,860",586.86,205b12be95091446da4d8ea80ff241a7c6b6da861f2cef9aefe40e698c51087a,0fc2b033233e440efcfdee1508850685a7db1f26b6039ccd1cb0fbdbd867ebde,2,yes
