youtube_id,family_size,record_ids,series,titles
uf0Or7n8_bU,3,school-of-hard-knocks/10-questions-with-a-millionaire/015-uf0Or7n8_bU;school-of-hard-knocks/entrepreneurship/159-uf0Or7n8_bU;school-of-hard-knocks/hard-knocks-interviews/123-uf0Or7n8_bU,school-of-hard-knocks/10-questions-with-a-millionaire;school-of-hard-knocks/entrepreneurship;school-of-hard-knocks/hard-knocks-interviews,Asking a Private Equity Millionaire How He Got Rich;Asking a Private Equity Millionaire How He Got Rich;Asking a Private Equity Millionaire How He Got Rich
uwh4gWNgb1w,2,school-of-hard-knocks/entrepreneurship/006-uwh4gWNgb1w;school-of-hard-knocks/hard-knocks-interviews/007-uwh4gWNgb1w,school-of-hard-knocks/entrepreneurship;school-of-hard-knocks/hard-knocks-interviews,Asking Beverly Hill Billionaires How They Got Rich!;Asking Beverly Hill Billionaires How They Got Rich!
vMcZyzTNoIc,2,school-of-hard-knocks/entrepreneurship/025-vMcZyzTNoIc;school-of-hard-knocks/hard-knocks-interviews/026-vMcZyzTNoIc,school-of-hard-knocks/entrepreneurship;school-of-hard-knocks/hard-knocks-interviews,I Asked Tom Cruise How He Made $600 Million;I Asked Tom Cruise How He Made $600 Million
vUumRjZX0n8,2,school-of-hard-knocks/entrepreneurship/051-vUumRjZX0n8;school-of-hard-knocks/hard-knocks-interviews/052-vUumRjZX0n8,school-of-hard-knocks/entrepreneurship;school-of-hard-knocks/hard-knocks-interviews,Asking Dubai Moguls How They Got Rich!;Asking Dubai Moguls How They Got Rich!
vzDYSrzISzo,2,school-of-hard-knocks/10-questions-with-a-millionaire/022-vzDYSrzISzo;school-of-hard-knocks/entrepreneurship/172-vzDYSrzISzo,school-of-hard-knocks/10-questions-with-a-millionaire;school-of-hard-knocks/entrepreneurship,10 Questions with a Millionaire： Insurance CEO Lavon Perrin;10 Questions with a Millionaire: Insurance CEO Lavon Perrin
w1bpdHouHpI,2,school-of-hard-knocks/entrepreneurship/148-w1bpdHouHpI;school-of-hard-knocks/hard-knocks-interviews/115-w1bpdHouHpI,school-of-hard-knocks/entrepreneurship;school-of-hard-knocks/hard-knocks-interviews,Asking Denver Millionaires How Much Money They Make;Asking Denver Millionaires How Much Money They Make
wOsnxJCy2p8,2,school-of-hard-knocks/entrepreneurship/012-wOsnxJCy2p8;school-of-hard-knocks/hard-knocks-interviews/013-wOsnxJCy2p8,school-of-hard-knocks/entrepreneurship;school-of-hard-knocks/hard-knocks-interviews,Asking Millionaires How They Got Rich! (Silicon Valley);Asking Millionaires How They Got Rich! (Silicon Valley)
xe3GmH-mBQI,2,school-of-hard-knocks/entrepreneurship/094-xe3GmH-mBQI;school-of-hard-knocks/hard-knocks-interviews/095-xe3GmH-mBQI,school-of-hard-knocks/entrepreneurship;school-of-hard-knocks/hard-knocks-interviews,Asking Beverly Hills Millionaires How They Got RICH!;Asking Beverly Hills Millionaires How They Got RICH!
yOSsd1Tpno4,3,school-of-hard-knocks/10-questions-with-a-millionaire/010-yOSsd1Tpno4;school-of-hard-knocks/entrepreneurship/100-yOSsd1Tpno4;school-of-hard-knocks/hard-knocks-interviews/102-yOSsd1Tpno4,school-of-hard-knocks/10-questions-with-a-millionaire;school-of-hard-knocks/entrepreneurship;school-of-hard-knocks/hard-knocks-interviews,Young Entrepreneur Interviews Billionaire Grant Cardone;Young Entrepreneur Interviews Billionaire Grant Cardone;Young Entrepreneur Interviews Billionaire Grant Cardone
yUCRSAWh_ls,2,school-of-hard-knocks/entrepreneurship/010-yUCRSAWh_ls;school-of-hard-knocks/hard-knocks-interviews/011-yUCRSAWh_ls,school-of-hard-knocks/entrepreneurship;school-of-hard-knocks/hard-knocks-interviews,Asking One of the Richest Men in Dubai How He Got Rich!;Asking One of the Richest Men in Dubai How He Got Rich!
z810EM7Q5Mg,2,school-of-hard-knocks/entrepreneurship/011-z810EM7Q5Mg;school-of-hard-knocks/hard-knocks-interviews/012-z810EM7Q5Mg,school-of-hard-knocks/entrepreneurship;school-of-hard-knocks/hard-knocks-interviews,Asking Wealthy Americans How They Got So Rich! (Scottsdale);Asking Wealthy Americans How They Got So Rich! (Scottsdale)
zN087p7dHN0,2,school-of-hard-knocks/entrepreneurship/023-zN087p7dHN0;school-of-hard-knocks/hard-knocks-interviews/024-zN087p7dHN0,school-of-hard-knocks/entrepreneurship;school-of-hard-knocks/hard-knocks-interviews,Asking Billionaires How They Got RICH! (Florida);Asking Billionaires How They Got RICH! (Florida)
